Age,Total 2020,Total 2021,Total 2022,Total 2023,Total 2024,Total 2025
0-4,6938210,6949494,6981963,7036696,7110205,7201066
5-9,6867367,6830055,6808044,6810726,6824310,6839603
10-14,6707567,6809597,6864580,6875446,6853156,6819342
15-19,5833755,5997369,6161636,6333838,6498132,6641849
20-24,4911291,5066124,5233066,5404730,5572195,5736632
25-29,4260823,4331447,4420907,4537002,4671292,4816335
30-34,3827623,3903873,3966112,4024851,4082288,4147995
35-39,3159496,3266368,3374913,3486936,3594289,3692650
40-44,2530187,2619555,2714711,2814074,2916887,3024082
45-49,2035783,2098506,2165159,2237748,2316152,2399255
50-54,1613309,1671148,1729985,1787693,1844730,1902384
55-59,1218539,1274421,1329550,1381490,1432517,1483083
60-64,856918,901163,948084,995571,1042887,1090182
65-69,551596,583725,618981,656015,693247,730208
70-74,387239,391948,401005,413082,425719,444512
75-79,237167,243249,251719,263235,276559,285248
80-84,147385,147548,148505,149766,151760,154833
85-89,81032,81856,82245,80962,79605,78396
90-94,35606,35705,35746,34712,33686,32594
95-99,13252,12803,12400,11446,10582,9770
100+,3177,3200,3143,2974,2735,2463
Total,52217322,53219154,54252454,55338993,56432933,57532482
